"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39302","validating menu items","webkit","Wed Nov 26 23:42:59 BRST 2025","broken","Wed Nov 26 23:43:38 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","12573","Validating menu items functionality","webkit","Thu Nov 27 00:05:33 BRST 2025","passed","Thu Nov 27 00:05:45 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","7121","validating Featured Items section","webkit","Sat Nov 22 14:58:01 BRST 2025","passed","Sat Nov 22 14:58:08 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","20360","TC9 - Search Product","webkit","Thu Nov 27 00:06:54 BRST 2025","passed","Thu Nov 27 00:07:15 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","12609","Validating Featured Items section title visibility and text","webkit","Thu Nov 27 00:05:58 BRST 2025","passed","Thu Nov 27 00:06:11 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","9548","validating logo is visible","chromium","Sat Nov 22 14:54:09 BRST 2025","passed","Sat Nov 22 14:54:18 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1641","TC5 - Register User with existing email","chromium","Thu Nov 27 00:02:27 BRST 2025","skipped","Thu Nov 27 00:02:29 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","33558","Validating Featured Items product hover behavior","firefox","Thu Nov 27 00:03:47 BRST 2025","broken","Thu Nov 27 00:04:21 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","12284","TC9 - Search Product","firefox","Thu Nov 27 00:04:35 BRST 2025","passed","Thu Nov 27 00:04:48 BRST 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks that each product in the Featured Items section displays its name, price, and image correctly.","13394","Validating Featured Items product information visibility","chromium","Thu Nov 27 00:02:10 BRST 2025","passed","Thu Nov 27 00:02:23 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","7334","validating carrousel","chromium","Sat Nov 22 14:54:22 BRST 2025","passed","Sat Nov 22 14:54:30 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","15246","validating carrousel buttons","firefox","Sat Nov 22 14:55:46 BRST 2025","passed","Sat Nov 22 14:56:01 BRST 2025","Tests for home page components","home-page-tests.spec.ts","",""
