"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","1741","Validating Featured Items section title visibility and text","webkit","Thu Nov 27 23:11:05 UTC 2025","passed","Thu Nov 27 23:11:07 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","5130","validating Featured Items section","chromium","Sat Nov 22 16:54:30 UTC 2025","passed","Sat Nov 22 16:54:35 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","4340","Validating carrousel navigation functionality","webkit","Thu Nov 27 23:10:57 UTC 2025","passed","Thu Nov 27 23:11:02 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","15766","validating Featured Itens product information","chromium","Sat Nov 22 16:54:35 UTC 2025","passed","Sat Nov 22 16:54:51 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","39302","validating menu items","webkit","Thu Nov 27 01:42:59 UTC 2025","broken","Thu Nov 27 01:43:38 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","13011","validating Featured Itens product information","webkit","Sat Nov 22 16:58:08 UTC 2025","passed","Sat Nov 22 16:58:21 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1516","TC7 - Verify Test Cases Page","firefox","Thu Nov 27 23:10:36 UTC 2025","passed","Thu Nov 27 23:10:37 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","1378","Validating logo visibility and alt attribute","chromium","Thu Nov 27 23:09:53 UTC 2025","passed","Thu Nov 27 23:09:54 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","2100","TC9 - Search Product","firefox","Thu Nov 27 23:10:40 UTC 2025","passed","Thu Nov 27 23:10:42 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","4111","Validating carrousel navigation functionality","firefox","Thu Nov 27 23:10:22 UTC 2025","passed","Thu Nov 27 23:10:26 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","2834","TC9 - Search Product","chromium","Thu Nov 27 23:10:11 UTC 2025","passed","Thu Nov 27 23:10:14 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC5 - Register User with existing email","webkit","Thu Nov 27 23:11:16 UTC 2025","skipped","Thu Nov 27 23:11:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","1430","Validating carrousel slide buttons visibility and functionality","chromium","Thu Nov 27 23:09:59 UTC 2025","passed","Thu Nov 27 23:10:00 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC5 - Register User with existing email","chromium","Thu Nov 27 23:10:07 UTC 2025","skipped","Thu Nov 27 23:10:07 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
